time_stamp,group_id,member_id,pm1.0_atm,id,date_time_utc
1709629053,1872,173211,0.295,173211,2024-03-05 08:57:33
1709629173,1872,173211,0.53,173211,2024-03-05 08:59:33
1709629293,1872,173211,0.56,173211,2024-03-05 09:01:33
1709629413,1872,173211,0.46,173211,2024-03-05 09:03:33
1709629533,1872,173211,0.325,173211,2024-03-05 09:05:33
1709629653,1872,173211,0.445,173211,2024-03-05 09:07:33
1709629773,1872,173211,0.45,173211,2024-03-05 09:09:33
1709629893,1872,173211,0.5,173211,2024-03-05 09:11:33
1709630013,1872,173211,0.375,173211,2024-03-05 09:13:33
1709630134,1872,173211,0.305,173211,2024-03-05 09:15:34
1709630254,1872,173211,0.46,173211,2024-03-05 09:17:34
1709630374,1872,173211,0.295,173211,2024-03-05 09:19:34
1709630494,1872,173211,0.53,173211,2024-03-05 09:21:34
1709630614,1872,173211,0.5,173211,2024-03-05 09:23:34
1709630734,1872,173211,0.445,173211,2024-03-05 09:25:34
1709630854,1872,173211,0.415,173211,2024-03-05 09:27:34
1709630974,1872,173211,0.395,173211,2024-03-05 09:29:34
1709631094,1872,173211,0.515,173211,2024-03-05 09:31:34
1709631214,1872,173211,0.295,173211,2024-03-05 09:33:34
1709631334,1872,173211,0.365,173211,2024-03-05 09:35:34
1709631454,1872,173211,0.49,173211,2024-03-05 09:37:34
1709631574,1872,173211,0.255,173211,2024-03-05 09:39:34
1709631694,1872,173211,0.355,173211,2024-03-05 09:41:34
1709631814,1872,173211,0.485,173211,2024-03-05 09:43:34
1709631934,1872,173211,0.4649999999999999,173211,2024-03-05 09:45:34
1709632054,1872,173211,0.79,173211,2024-03-05 09:47:34
1709632174,1872,173211,0.7350000000000001,173211,2024-03-05 09:49:34
1709632294,1872,173211,0.605,173211,2024-03-05 09:51:34
1709632414,1872,173211,0.4549999999999999,173211,2024-03-05 09:53:34
1709632534,1872,173211,0.415,173211,2024-03-05 09:55:34
1709632654,1872,173211,0.51,173211,2024-03-05 09:57:34
1709632774,1872,173211,0.51,173211,2024-03-05 09:59:34
1709632894,1872,173211,0.47,173211,2024-03-05 10:01:34
1709633014,1872,173211,0.71,173211,2024-03-05 10:03:34
1709633134,1872,173211,0.8999999999999999,173211,2024-03-05 10:05:34
1709633254,1872,173211,0.47,173211,2024-03-05 10:07:34
1709633374,1872,173211,0.61,173211,2024-03-05 10:09:34
1709633494,1872,173211,0.66,173211,2024-03-05 10:11:34
1709633614,1872,173211,0.445,173211,2024-03-05 10:13:34
1709633736,1872,173211,0.435,173211,2024-03-05 10:15:36
1709633855,1872,173211,0.55,173211,2024-03-05 10:17:35
1709633975,1872,173211,0.4649999999999999,173211,2024-03-05 10:19:35
1709634095,1872,173211,0.455,173211,2024-03-05 10:21:35
1709634215,1872,173211,0.495,173211,2024-03-05 10:23:35
1709634335,1872,173211,0.29,173211,2024-03-05 10:25:35
1709634455,1872,173211,0.175,173211,2024-03-05 10:27:35
1709634576,1872,173211,0.415,173211,2024-03-05 10:29:36
1709634695,1872,173211,0.47,173211,2024-03-05 10:31:35
1709634815,1872,173211,0.355,173211,2024-03-05 10:33:35
1709634935,1872,173211,0.415,173211,2024-03-05 10:35:35
1709635055,1872,173211,0.39,173211,2024-03-05 10:37:35
1709635175,1872,173211,0.315,173211,2024-03-05 10:39:35
1709635295,1872,173211,0.315,173211,2024-03-05 10:41:35
1709635415,1872,173211,0.38,173211,2024-03-05 10:43:35
1709635535,1872,173211,0.2249999999999999,173211,2024-03-05 10:45:35
1709635655,1872,173211,0.2,173211,2024-03-05 10:47:35
1709635775,1872,173211,0.11,173211,2024-03-05 10:49:35
1709635895,1872,173211,0.285,173211,2024-03-05 10:51:35
1709636015,1872,173211,0.095,173211,2024-03-05 10:53:35
1709636135,1872,173211,0.295,173211,2024-03-05 10:55:35
1709636255,1872,173211,0.095,173211,2024-03-05 10:57:35
1709636375,1872,173211,0.305,173211,2024-03-05 10:59:35
