UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2024/02/24T02:56:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,33,60,1012.98,0.02,12216,-51,4781,3.16,4.67,5.86,3.16,4.67,5.86,19,19,751.34,217.24,30.00,4.17,1.53,0.91,3.38,4.76,5.41,3.38,4.76,5.41,20,20,747.52,212.72,27.64,3.29,0.83,0.00,75.03
2024/02/24T02:58:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,34,59,1012.98,0.02,12216,-54,4901,2.80,5.27,7.27,2.80,5.27,7.27,22,22,682.20,198.27,37.78,7.10,3.03,1.20,3.30,5.39,8.46,3.30,5.39,8.46,22,22,731.57,218.18,41.20,8.25,4.86,1.25,75.35
2024/02/24T03:00:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,34,59,1012.97,0.02,12216,-53,5021,2.88,4.56,6.95,2.88,4.56,6.95,19,19,725.58,211.79,33.28,6.40,3.11,1.75,3.46,4.90,6.54,3.46,4.90,6.54,20,20,715.32,214.47,33.86,4.44,2.00,0.95,76.74
2024/02/24T03:02:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,34,60,1012.95,0.02,12216,-54,5141,3.04,5.05,6.51,3.04,5.05,6.51,21,21,740.00,214.04,33.40,6.33,2.32,0.89,3.09,5.17,6.93,3.09,5.17,6.93,22,22,712.24,212.90,36.97,5.38,2.43,0.98,77.70
2024/02/24T03:04:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,34,60,1012.89,0.02,12216,-50,5261,3.22,4.90,5.95,3.22,4.90,5.95,20,20,703.03,207.21,30.57,4.50,1.52,0.81,2.79,4.77,6.26,2.79,4.77,6.26,20,20,647.16,195.86,39.51,4.82,2.02,1.09,78.33
2024/02/24T03:06:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,34,60,1012.87,0.02,12216,-49,5381,2.18,4.82,6.17,2.18,4.82,6.17,20,20,701.30,207.90,38.88,6.47,1.75,1.40,3.07,4.64,6.20,3.07,4.64,6.20,19,19,682.50,197.07,33.18,4.54,2.18,0.46,78.63
2024/02/24T03:08:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,34,60,1012.92,0.02,12216,-50,5501,2.68,4.75,6.49,2.68,4.75,6.49,20,20,698.00,200.91,34.91,6.74,2.26,1.63,3.51,4.98,5.95,3.51,4.98,5.95,21,21,709.32,204.68,37.53,2.98,1.42,0.54,78.38
2024/02/24T03:10:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,34,60,1012.86,0.02,12216,-54,5621,2.67,4.72,6.23,2.67,4.72,6.23,20,20,660.63,190.25,32.74,8.33,1.93,0.65,3.07,4.22,5.10,3.07,4.22,5.10,18,18,654.00,190.31,29.24,3.42,1.20,0.44,79.38
2024/02/24T03:12:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,34,60,1012.93,0.02,12216,-53,5741,3.15,5.07,6.47,3.15,5.07,6.47,21,21,678.81,199.46,34.20,5.86,1.90,0.80,3.31,4.47,5.83,3.31,4.47,5.83,19,19,723.46,211.63,28.36,3.19,2.02,0.73,80.29
2024/02/24T03:14:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,34,60,1012.88,0.02,12216,-54,5861,2.50,3.79,5.00,2.50,3.79,5.00,16,16,584.69,171.72,23.60,4.29,1.91,0.76,3.04,4.38,5.48,3.04,4.38,5.48,18,18,657.43,194.14,28.79,3.02,1.36,0.70,82.33
